date,trade_count,wins,losses,tp_count,sl_count,daily_pnl_usdt,daily_fees_usdt,last_capital_usdt
2025-10-08,5,2,3,0,5,-253.150389,174.908512,45832.790753
2025-10-09,3,3,0,2,1,1527.45808,105.880044,47360.248833
2025-10-10,5,2,3,1,4,429.56747,182.039672,47789.816302
2025-10-11,5,2,3,1,4,590.374446,183.708758,48380.190749
2025-10-12,5,3,2,3,2,1620.954313,186.832646,50001.145063
2025-10-13,5,2,3,2,3,803.616884,192.174605,50804.761947
2025-10-14,3,3,0,3,0,2083.260538,118.064394,52888.022485
2025-10-15,5,2,3,1,4,413.785141,203.527697,53301.807626
2025-10-16,4,3,1,2,2,1827.109819,164.410468,55128.917444
2025-10-17,4,3,1,3,1,2053.446499,169.501694,57182.363944
2025-10-18,5,1,4,0,5,-426.541485,217.299392,56755.82246
2025-10-19,5,3,2,2,3,1616.887658,217.499077,58372.710117
2025-10-20,4,0,4,0,4,-838.151115,176.296111,57534.559003
2025-10-21,5,3,2,3,2,1927.666886,222.942414,59462.225888
2025-10-22,5,3,2,3,2,2108.706816,228.28415,61570.932703
2025-10-23,5,3,2,3,2,2062.903586,235.366609,63633.836288
2025-10-24,5,3,2,1,4,721.614542,244.443811,64355.45083
2025-10-25,5,1,4,1,4,-11.562214,243.86148,64343.888616
